,end_to_end_latency,throughput,cpu_usage,number_of_streams,number_of_users,ping,bandwidth,instantiation_time,time_to_connect,time_to_deploy_new_instance,mem_usage
34,10137.8,2.63E+09,14429.58,7986.095,5148.191,8250367,33535255,8.693575,2646.914,16277.33,3.63E+21
35,4931.431,1.63E+12,23900.39,10187.74,4605.504,13494704,30285422,10.49025,11667.49,7896.752,3.82E+22
36,3076.056,8.07E+10,9426.137,8368.99,4693.507,9055337,1387187,8.356079,5162.141,4907.391,7.81E+18
37,5532.855,6.56E+10,9872.873,3897.324,7582.948,1967787,1064860,5.060108,4951.441,8881.686,1.15E+22
38,3800.33,2.68E+10,36766.4,9490.325,9049.669,11702327,38589531,9.860463,8678.191,6082.4,1.28E+21
39,4935.977,2.54E+11,29797.31,10174.07,7172.266,13430120,22314915,9.116097,12773.67,7931.311,7.73E+21
40,2197.673,4.14E+11,25061.91,11938.12,14256.53,18407695,24372269,11.46628,4569.548,3525.027,1.50E+22
41,6455.507,7.34E+11,11302.43,1148.685,12100.45,175864.9,26799392,11.82588,7479.837,10367.73,2.36E+22
42,4940.856,1.24E+11,3171.828,9914.244,7010.926,12765553,17086992,12.81403,395.0618,7914.031,4.80E+22
43,2613.352,3.63E+09,34398.7,9900.57,8389.644,12680924,35309813,9.121596,3792.593,4181.65,1.68E+22
44,9971.846,7.40E+10,3395.196,8738.21,1936.072,9870270,17353734,9.986945,6663.376,16000.86,1.37E+18
45,4775.891,1.17E+12,12553.29,1381.157,645.3572,257689.1,2876753,9.202404,1553.91,7672.118,2.19E+15
46,6508.897,7.73E+10,30958.83,3487.079,6292.233,1590677,23770596,6.196241,750.6174,10454.12,7.95E+22
47,5338.079,1.20E+11,32611.75,3172.558,6893.589,1299183,25126153,11.30714,460.9054,8553.374,1.87E+21
48,4986.888,3.61E+11,4378.016,6290.417,5749.546,5113146,1450367,13.53805,5017.285,8000.429,5.18E+21
49,10094.87,4.81E+11,21756.06,3514.429,5602.874,1609033,14168166,8.952321,5557.203,16225.49,2.18E+21
50,5525.337,2.24E+10,6164.961,2871.712,8550.984,1075892,6481053,6.998492,4648.561,8864.406,4.33E+19
51,1709.477,1.62E+12,9470.81,11158.65,10619.06,16185305,22631344,7.417268,10561.32,2712.888,9.62E+22
52,2012.733,9.63E+10,25151.26,1039.286,12349.79,139498.2,20112726,7.151965,10679.84,3196.716,4.67E+21
53,8728.747,1.59E+11,38329.98,10912.51,2112.078,15395886,29023368,6.783219,2344.033,14030.99,7.01E+20
54,7103.325,7.30E+09,8219.949,11527.87,7494.944,17246463,1775706,10.1837,8665.022,11421.78,7.51E+21
55,2847.813,6.35E+11,14116.87,300.846,3857.476,12326.34,6735275,11.54273,3028.807,4544.52,4.12E+21
56,4671.13,6.37E+08,30288.72,560.6676,5910.886,41819.36,20522295,11.88451,2001.646,7499.322,2.30E+20
57,2571.06,1.75E+12,5584.204,3117.859,13332.49,1260354,6767832,9.264324,11733.34,4112.532,2.68E+20
58,5450.263,2.20E+12,17556.74,10078.34,0,13149661,3542866,10.13597,12207.41,8760.729,6.98E+21
59,5893.225,5.46E+09,39848.88,10433.89,3109.449,14134906,24480910,9.951406,4332.511,9469.19,4.86E+18
60,9858.362,7.33E+11,26938.2,875.1885,12628.47,100862.4,40413336,12.6328,12260.08,15845.34,4.89E+21
61,994.3426,2.32E+09,1876.293,7630.55,2244.083,7592926,20331573,10.9036,3107.82,1589.718,5.13E+19
62,3464.01,2.74E+11,11168.41,423.9194,6028.223,23637.66,7081793,9.482843,1962.14,5564.013,2.38E+21
63,8016.761,4.24E+11,41278.44,1476.881,4106.819,283899,22845350,11.66665,10956.38,12890.54,9.11E+22
64,8251.195,1.23E+12,10096.24,410.2446,674.6917,22359.51,6727517,9.406896,10785.19,13236.13,5.13E+22
65,9627.174,9.89E+11,28591.13,9640.748,3696.137,12007446,47435231,11.38214,1303.704,15482.47,1.02E+22
66,7397.507,1.54E+12,44584.29,3910.999,5118.856,1995117,64661507,10.92377,9600.002,11871.05,1.05E+23
67,6140.376,2.53E+11,8175.275,8191.217,11689.77,8743001,11951901,9.342662,1409.054,9849.34,1.40E+23
68,885.8267,4.09E+11,31584.26,3760.575,13933.85,1825230,52048416,12.92846,1027.161,1416.923,2.95E+23
69,8106.273,1.68E+12,34577.39,11336.43,13405.83,16602880,36012167,9.522559,8612.347,13011.5,2.59E+23
70,7928.806,1.72E+11,18941.62,11555.22,13611.17,17248047,7345537,10.15308,8006.586,12735.02,5.21E+22
71,7458.933,1.96E+11,35738.91,5524.627,7157.599,3985398,44977011,7.262856,7348.15,11974.72,1.80E+23
72,7978.482,3.36E+11,25285.28,5374.204,6130.894,3743903,28960031,7.003568,2725.926,12804.14,1.17E+23
73,885.9766,2.42E+11,16841.96,7357.053,4370.829,7023424,34349546,10.5026,434.568,1399.643,7.24E+21
74,8048.888,4.70E+11,11123.73,10529.61,12584.47,14393574,17285863,9.305385,1501.235,12942.38,5.15E+21
75,5111.787,3.19E+11,25910.71,11240.7,4517.501,16363786,21500031,10.18413,7519.343,8190.504,3.36E+22
76,1935.606,9.33E+11,26446.79,12129.57,4810.845,19059930,7355522,6.709003,2870.782,3110.318,6.64E+18
77,5426.821,1.53E+10,19477.7,3774.25,14051.19,1860512,6934586,8.761626,8586.01,8708.89,1.38E+23
78,5827.94,3.95E+10,43467.45,8327.965,7758.954,9005043,31847396,8.740538,9139.096,9348.234,5.54E+20
79,577.5079,1.35E+08,19567.05,9955.269,3578.799,12880212,17786157,8.129874,934.9796,915.8159,9.83E+21
80,6689.05,4.21E+11,41948.54,2488.817,7465.61,816991.4,38003339,9.002004,8362.142,10730.6,7.56E+22
81,769.1081,2.65E+11,24570.5,9654.423,4473.499,12096259,24111778,11.94359,12273.25,1226.848,1.31E+20
82,1761.238,1.29E+10,16395.22,12922.7,4913.515,21609216,6085221,11.55737,11614.82,2816.566,3.62E+22
83,10470.05,4.23E+11,31852.3,2817.013,11851.11,1028450,16983551,10.519,3608.231,16813,6.29E+21
84,3951.78,1.12E+11,5986.267,13661.15,7289.603,24109301,5759376,12.60974,5056.791,6324.313,9.18E+18
85,6043.055,7.49E+10,14250.89,13606.45,1070.706,23924830,10427120,9.526428,9376.134,9711.104,5.06E+22
86,1195.876,8.71E+10,4109.974,7384.403,13567.17,7104183,11635052,12.48366,1316.873,1918.029,1.68E+20
87,10026.18,4.60E+11,37972.59,314.5209,13083.15,15770.64,32209489,10.4071,684.7738,16121.81,1.23E+22
88,4175.284,2.05E+11,25866.03,5333.18,11645.76,3724974,23001239,10.39515,1132.511,6704.463,6.18E+22
89,5031.202,4.98E+11,22158.12,6413.491,9533.687,5315642,36765591,8.049976,11825.52,8069.547,4.45E+20
90,5701.101,3.97E+11,38955.41,3063.16,13889.85,1212704,19159651,9.556255,4055.968,9140.879,1.33E+23
91,3514.331,1.17E+12,36677.05,246.1468,10795.07,9560.535,41749391,9.407549,12720.99,5615.852,3.63E+21
92,7178.415,7.32E+11,2367.703,8929.657,5104.189,10296315,1592931,12.06836,2449.383,11542.74,6.03E+20
93,2416.136,1.30E+10,30199.38,8204.892,7040.261,8699098,45601615,11.86455,4530.042,3853.338,1.04E+23
94,6007.367,2.08E+10,0,1750.377,1906.737,398310.8,213185.1,7.703905,1567.079,9659.265,5.42E+22
95,4366.264,7.21E+09,12017.21,11103.95,4268.158,16010339,27605300,9.959908,6637.038,7015.495,8.62E+21
96,7209.728,9.39E+09,6477.677,13291.93,2904.108,22931790,6336095,10.44835,9323.459,11577.29,8.36E+19
97,624.6341,5.50E+11,41412.46,8888.633,10912.4,10223116,53651289,10.78767,1237.86,967.6545,1.66E+23
98,10735.68,5.04E+10,36140.97,752.1151,11865.77,77733.97,17809436,11.80647,8704.528,17262.26,1.20E+23
99,2391.271,1.17E+11,17646.09,10611.66,8991,14640902,10762749,11.85371,4003.293,3836.059,5.21E+21
100,4117.162,5.97E+10,33281.86,6181.019,2786.77,4991659,48571131,9.821386,3489.713,6600.786,4.70E+15
101,10264.02,5.40E+11,8979.4,10721.06,1598.726,14857600,16934701,9.845064,6702.882,16484.69,7.72E+21
102,4631.234,4.09E+11,34041.31,3213.583,1686.729,1344461,48556714,7.481053,381.8931,7412.925,8.18E+21
103,10174.48,1.36E+12,43422.77,5510.952,9519.019,3969097,37339420,9.77863,13142.39,16346.45,1.30E+23
104,760.2689,4.92E+11,40518.99,2242.67,6908.256,662081.1,36797836,8.633602,7084.775,1209.568,2.36E+22
105,9989.408,8.40E+09,35783.58,10597.99,10941.74,14519587,35160550,11.37065,8467.491,16069.98,2.18E+22
106,6062.599,5.58E+10,22470.84,12266.31,6218.897,19532517,18471913,10.05632,6610.701,9728.384,6.33E+20
107,3857.78,2.00E+10,32879.79,5880.173,7421.608,4476995,36781064,8.161729,1013.992,6168.797,1.43E+20
108,1503.587,6.19E+09,42439.95,5305.83,6350.902,3677870,63772475,9.727947,4990.948,2401.857,1.32E+22
109,5151.806,1.57E+12,36230.32,4143.47,11161.75,2225023,40025063,7.747009,9244.446,8259.622,5.53E+21
110,7271.015,3.32E+11,14340.24,10215.09,13215.16,13502482,28563954,5.829083,1606.585,11663.69,4.71E+22
111,4859.299,7.24E+11,1206.188,10789.43,12335.12,15028153,91251.51,14.43632,3871.606,7793.075,1.39E+22
112,8462.894,1.11E+12,40474.31,10666.36,11763.1,14753717,29355946,13.46526,2251.852,13599,1.56E+20
113,4526.562,9.31E+11,21622.04,12799.63,1320.049,21247368,7167885,9.858997,1106.173,7274.688,2.23E+20
114,3190.809,6.36E+11,3975.953,7110.906,2522.76,6597415,9964715,12.61056,5583.54,5114.745,2.74E+22
115,2797.947,5.94E+11,33817.94,4717.813,982.7031,2873881,36311275,10.45155,3687.244,4475.402,3.00E+17
116,4661.089,6.66E+11,14652.95,2639.24,425.3491,916859.2,19384686,9.221207,658.4363,7482.043,1.33E+18
117,575.5765,2.59E+11,20594.54,11199.68,88.00326,16260220,18653586,7.673182,1527.572,898.5363,4.60E+18
118,4757.698,5.70E+11,20237.16,5073.358,11132.41,3326600,17959964,7.368625,10034.57,7637.559,2.98E+21
119,7759.801,6.29E+10,6522.35,9572.374,4546.835,11854992,7247264,13.22921,9060.084,12475.83,2.08E+20
120,2184.717,8.42E+11,24079.09,7712.598,249.3426,7751148,19927390,8.712452,5438.684,3490.468,3.46E+15
121,1419.105,7.03E+11,20326.5,12963.73,14373.87,21744862,18958951,11.06984,2146.502,2263.62,8.78E+20
122,10496,1.96E+10,13670.13,5565.652,5221.527,4032080,5105736,10.30647,4911.935,16847.56,7.32E+17
123,3440.402,4.22E+11,17422.72,7589.525,2596.096,7513731,26542621,9.746147,13050.21,5529.454,7.05E+18
124,9023.021,7.45E+11,15412.4,1955.499,5280.196,493798.9,16415195,9.839262,6307.82,14480.26,2.20E+22
125,3761.28,9.96E+10,8487.99,11377.45,11484.43,16812726,1053926,9.99544,1698.766,6047.841,1.05E+21
126,8264.964,6.68E+11,39223.45,11227.03,9592.355,16368099,28665412,10.77314,10390.13,13270.69,3.88E+22
127,2461.348,1.15E+12,34175.33,6878.434,14065.85,6137185,31932995,11.7322,1935.803,3939.736,1.75E+20
128,3391.983,2.26E+11,20058.46,9941.594,11997.78,12774277,7614912,7.12222,3081.482,5425.777,2.25E+23
129,8207.457,3.31E+09,268.0418,9545.024,9460.351,11832767,10239424,9.295017,1790.947,13167.01,1.59E+20
130,4973.206,3.67E+11,30601.44,10857.81,2977.444,15258338,16573090,3.300857,4516.873,7983.15,5.80E+19
131,2682.594,3.18E+11,6656.371,3364.006,6262.899,1493580,1914233,9.772898,4240.33,4285.327,1.01E+21
132,1075.81,3.55E+11,11927.86,4020.397,5896.218,2093937,1698365,7.659588,1922.634,1710.675,2.36E+22
133,6530.427,6.86E+10,3529.217,9148.455,14212.53,10819111,3623809,9.726082,6215.639,10488.68,1.63E+23
134,9756.416,1.63E+12,25374.62,12375.71,9900.367,19834511,48400131,11.27116,7690.537,15689.83,2.34E+22
135,3353.886,9.86E+10,6433.003,8984.357,10208.38,10429648,15857356,10.53305,12009.88,5391.218,7.34E+22
136,2423.717,9.30E+11,22917.57,341.8705,3050.78,15733.25,11349545,10.98424,908.6422,3887.897,3.47E+22
137,7956.806,2.19E+09,12061.88,10365.51,2566.762,13899990,2504727,11.36886,5596.709,12786.86,1.05E+15
138,1093.699,1.42E+12,12866.01,2270.02,6732.249,665288.7,30369006,10.25872,8335.804,1727.954,3.01E+22
139,3804.885,7.74E+10,17467.39,4895.586,4209.489,3115565,24407190,10.17494,1066.667,6099.679,9.34E+19
140,5262.275,2.68E+11,35336.84,6618.613,1305.382,5669213,54211762,7.379406,7769.549,8449.697,5.07E+22
141,4270.575,3.52E+11,26982.87,12211.61,3314.789,19349426,30576030,5.698323,4029.63,6859.979,6.34E+20
142,3891.199,3.15E+10,37793.89,12594.51,11836.44,20502408,57301643,8.81859,1830.453,6237.916,3.33E+22
143,9269.296,1.35E+10,10230.26,13620.12,7245.602,23972107,10650231,10.22177,7269.137,14894.97,1.56E+21
144,1316.909,5.22E+11,23945.07,3705.876,2024.075,1786366,9859994,10.42515,8941.566,2090.825,4.59E+22
145,2509.936,1.38E+11,8443.317,2023.873,11616.43,543730.6,17858916,10.43208,882.3047,4008.854,3.70E+22
146,7142.828,2.26E+10,4243.995,738.4403,14036.52,75727.43,14984677,8.798547,8454.323,11456.34,9.69E+20
147,1136.447,4.34E+11,13178.72,7302.354,13303.16,6900650,16586045,9.902671,8796.71,1797.073,1.82E+22
148,8836.598,5.10E+09,28323.08,10488.59,3006.778,14266173,37367920,10.11979,3450.206,14186.51,1.18E+23
149,7142.375,9.69E+09,580.7572,6085.295,6556.243,4805352,8053345,11.25876,7045.269,11473.62,2.64E+22
150,1169.407,5.44E+11,28903.84,12389.39,4062.817,19906946,11884219,8.94132,671.6051,1848.911,1.02E+21
151,3512.686,1.07E+11,25821.36,7931.396,12921.81,8199736,31925913,8.879061,3305.35,5633.131,2.97E+21
152,9595.568,2.05E+11,2725.092,2064.898,3637.468,561633.5,3031385,8.838043,9402.471,15413.35,1.60E+22
153,1231.925,1.91E+12,38017.26,8779.234,11147.08,9952816,47376838,9.830786,10837.86,1969.868,2.72E+22
154,10151.69,4.18E+11,8890.053,8054.469,3226.786,8455683,5424782,10.00401,9283.952,16294.61,3.82E+22
155,4165.58,1.60E+10,38061.94,6823.735,1129.375,6058836,61235827,10.67818,869.136,6687.184,1.71E+22
156,3624.487,4.60E+11,37213.14,5921.197,11953.78,4574961,22985339,10.12033,1395.885,5805.927,1.68E+20
157,2132.079,5.17E+11,15635.77,8382.665,9929.701,9080333,10297108,10.34404,5227.985,3421.35,4.27E+22
158,8762.157,4.65E+10,24347.13,6659.637,10135.04,5778880,12713171,11.32223,5201.647,14082.83,8.90E+20
159,940.3099,6.11E+10,21219.98,7138.256,6233.564,6636338,25968847,10.47769,6320.989,1503.32,4.55E+19
160,6728.235,1.76E+10,27161.57,8505.738,14476.54,9420394,37622346,10.6699,2831.276,10816.99,3.58E+19
161,10591.72,4.03E+11,42127.24,2434.118,12027.11,772173.7,26167112,12.40544,11720.17,17020.35,1.05E+23
162,2671.953,1.89E+11,29037.86,123.0734,12789.81,2315.431,11207491,11.1677,8164.611,4268.047,1.65E+20
163,9084.485,2.44E+11,848.799,4540.04,865.3654,2680510,5233868,6.47391,553.0865,14601.22,7.64E+21
164,3573.356,3.20E+11,16752.61,6755.361,5793.548,5940588,28280548,9.626694,5952.265,5736.809,1.16E+23
165,8606.288,3.19E+11,26759.51,5770.774,5514.871,4351616,31414903,9.48748,9679.014,13806.36,1.59E+21
166,1638.04,1.62E+12,20862.59,11213.35,13068.48,16249088,25833553,8.218844,8125.105,2626.491,8.15E+20
167,1550.021,2.65E+11,13089.37,12061.19,1452.054,18799371,5719229,8.008199,9297.121,2470.975,4.72E+22
168,5233.137,1.17E+12,33505.22,396.5698,6409.571,20468.47,34559797,11.28053,4609.054,8397.859,1.24E+23
169,10618.82,1.40E+11,39044.76,5620.351,9797.696,4103048,35032366,7.916293,12497.12,17054.91,4.11E+20
170,5535.53,2.12E+10,10587.65,11664.62,6702.915,17675800,15139143,11.24803,12997.53,8898.965,1.89E+20
171,4453.463,3.71E+11,35470.86,10762.08,13787.18,15019390,13853056,7.670772,12312.76,7136.452,3.54E+19
172,2379.785,5.46E+10,36945.09,9339.902,13127.15,11332428,40855003,10.75441,9876.545,3801.5,3.81E+22
173,822.7857,3.41E+11,14027.52,970.9122,8697.656,128311.1,29205954,7.880124,9784.364,1295.966,2.50E+20
174,4098.774,5.69E+11,19835.09,4239.194,13449.83,2338071,12489508,6.710483,2462.552,6566.227,5.03E+22
175,9277.908,4.16E+11,25642.67,820.4892,5206.86,91700.23,18472209,10.02637,3186.832,14912.25,1.63E+20
176,8284.675,7.99E+10,42886.69,1340.132,7538.946,245947.8,22143066,9.511976,8915.228,13287.97,1.06E+23
177,5544.912,1.15E+12,1518.904,3281.957,9313.678,1410206,4257890,15.34409,3252.676,8916.245,9.07E+22
178,2457.163,9.56E+11,1920.966,4581.065,10091.04,2746695,18529868,11.30742,10930.04,3922.457,9.42E+20
179,2185.514,9.76E+10,13402.09,2133.272,8565.651,602351.5,7027116,10.15648,8230.454,3507.748,5.34E+21
180,3043.431,3.10E+11,39491.49,1176.035,10047.04,185345.4,30726550,8.895612,2541.564,4872.832,2.21E+23
181,4571.497,1.54E+11,31450.24,13086.8,4590.837,22146148,35624634,7.641262,10719.34,7326.527,1.11E+18
182,6901.636,2.94E+10,9917.547,13510.72,4840.179,23590713,1757425,12.82231,8902.059,11076.19,6.39E+20
183,9106.622,5.92E+11,5628.878,1326.458,9695.026,240082.1,16856981,9.531654,8190.948,14618.49,1.87E+19
184,6515.589,5.62E+11,5405.51,12334.69,13596.5,19724496,13428296,9.142531,3897.943,10471.4,1.52E+22
185,10028.34,1.56E+11,19164.99,7726.273,1481.388,7751349,22841977,10.97295,3279.013,16104.54,4.72E+21
186,1740.91,4.03E+10,34532.72,1900.8,11411.09,476016.1,55507416,9.944713,9916.051,2764.727,2.24E+21
187,10233.42,6.75E+11,7103.108,1969.174,11455.09,514384.3,18083785,11.5042,11180.25,16432.85,5.87E+20
188,10561.52,4.23E+10,3797.259,2611.891,11103.08,902170.9,1962936,11.23152,10166.26,16968.51,4.28E+22
189,8868.085,1.33E+11,24883.21,5934.872,6306.9,4563806,24562880,10.17708,11680.66,14238.34,4.83E+20
190,5487.145,9.77E+11,39178.78,5319.505,4708.174,3679830,38905134,10.19831,4227.161,8795.288,3.31E+21
191,5488.592,4.97E+10,7996.58,27.34964,11469.76,417.0854,22031781,9.429322,11575.31,8829.847,3.89E+21
192,4570.251,1.30E+12,18092.82,8957.007,2082.744,10367777,5492998,8.336436,7413.993,7343.806,5.28E+20
193,3139.105,1.34E+12,34622.07,7671.574,4224.157,7645283,49429169,9.654845,10640.33,5028.347,9.03E+19
194,2761.667,6.25E+11,44494.94,2666.59,2493.426,934077.2,38457131,12.28599,11601.65,4423.563,1.64E+20
195,5217.156,2.16E+09,37168.46,6304.092,2317.419,5190799,59690354,12.02114,5122.635,8363.3,1.17E+22
196,5191.679,2.44E+10,33996.63,2338.394,3622.801,705844.7,33195533,9.007457,7953.911,8328.74,9.60E+21
197,8939.173,7.14E+11,10900.37,2160.622,5074.855,611777.9,7426807,7.752134,8138.273,14376.58,2.32E+21
198,9894.089,2.98E+11,4422.69,4690.463,7480.277,2850566,6838407,10.02344,263.3745,15879.9,9.37E+22
199,798.1779,2.11E+11,17958.8,7753.623,7817.623,7763307,25647222,11.96895,8849.384,1244.127,6.45E+22
200,6316.344,4.97E+11,37347.16,2502.492,7113.597,817722.9,46817313,6.444005,3265.844,10125.81,4.14E+22
201,8032.721,6.65E+11,33773.27,6563.914,9372.347,5615127,14709627,9.38388,8638.685,12907.82,1.80E+22
202,10355,7.81E+11,35917.6,10625.34,5294.863,14607317,63622579,8.977652,7466.668,16622.92,5.55E+22
203,1872.285,6.18E+11,34845.43,4622.089,12907.14,2763521,61459297,9.614247,8559.672,2989.361,3.43E+19
204,10109.24,5.94E+11,42663.32,7863.021,2434.757,8004505,33862588,10.58056,12562.97,16260.05,1.58E+22
205,6861.116,1.09E+12,18896.95,6386.141,806.6966,5315389,6918587,10.31844,12062.55,11007.07,2.72E+22
206,291.4744,6.52E+09,13312.74,7398.078,13919.18,7079711,32105767,9.049475,8269.961,431.9886,1.39E+20
207,2704.113,2.30E+10,38910.73,13141.5,13244.49,22352521,37468951,7.278758,10126.75,4337.166,1.72E+21
208,3793.696,6.43E+11,43824.83,41.02446,13845.85,348.4472,46194192,9.747587,12404.94,6065.12,8.00E+22
209,1303.305,1.22E+11,30735.46,2092.247,10956.41,585161.2,52865278,10.8012,3292.182,2073.545,9.50E+22
210,5787.503,1.11E+11,24927.89,12416.74,11631.1,19931397,42797632,8.087121,11522.64,9279.115,2.76E+22
211,9459.858,6.30E+11,1474.23,8478.388,12247.12,9289749,973549,7.789729,11693.83,15206,2.06E+21
212,4906.946,1.01E+12,714.7781,4909.26,1701.396,3130601,500116.3,6.284477,8836.216,7879.472,6.19E+22
213,7973.228,8.59E+10,25597.99,5839.148,7216.267,4416179,43627775,7.753489,4859.26,12821.42,7.99E+22
214,6418.231,4.79E+11,40653.01,1736.702,8800.326,394040.1,29159830,5.365529,3120.988,10298.61,5.53E+20
215,159.1559,2.16E+11,30690.79,2529.842,14271.2,851731.4,14003068,9.505853,1672.428,241.9136,3.58E+21
216,2998.945,8.45E+10,35426.19,12170.59,11821.77,19222941,18029595,8.550429,12431.28,4820.993,8.27E+22
217,63.56221,2.34E+11,35694.23,6358.791,1012.038,5262408,45773575,10.24672,9257.615,69.11818,1.34E+19
218,6704.423,5.42E+11,42618.65,1408.506,10311.05,269927.7,57780295,10.71138,10324.28,10765.16,5.87E+22
219,9862.676,2.26E+11,6879.74,8410.014,2126.745,9185079,5281868,10.71455,355.5556,15828.06,4.40E+20
220,5098.488,1.28E+11,5182.141,7780.973,11557.76,7867395,13272905,12.69985,6558.026,8173.225,5.28E+20
221,8901.835,8.81E+11,22024.1,8177.542,12892.48,8694925,30136046,11.99598,8823.047,14307.46,1.16E+21
222,8287.197,9.79E+11,10811.02,1367.482,13229.82,242129.5,14557518,11.82847,1488.066,13322.53,1.39E+23
223,1147.262,1.33E+12,36900.42,9996.293,1672.062,12971004,21055611,11.24083,5214.816,1814.352,2.13E+18
224,8841.516,7.08E+11,19656.4,4813.537,850.6982,2994511,14102211,13.16825,11338.27,14203.79,4.08E+22
225,1348.988,1.59E+12,28457.1,3541.778,12775.14,1655581,17487129,6.225268,5267.491,2142.664,1.34E+20
226,713.2475,9.63E+11,32343.71,2119.597,10501.72,581071.8,52125522,11.64426,144.856,1140.45,1.05E+22
227,6951.814,3.67E+11,6120.288,2010.199,8829.661,532265.6,8049196,10.39614,3700.412,11162.59,1.10E+22
228,4326.003,3.39E+10,27429.61,12690.23,2449.424,20906850,25628026,8.644061,11088.07,6929.097,1.69E+21
229,8522.808,5.52E+11,12955.35,1490.555,14491.2,298304.3,23540968,8.666939,3147.326,13702.68,2.45E+21
230,1668,1.64E+11,1563.577,5702.4,9665.691,4251989,4625053,9.601628,4451.03,2678.329,4.64E+22
231,7528.384,7.27E+10,20951.93,1640.978,337.3458,354667.5,22625035,12.99567,1093.004,12095.68,1.33E+19
232,5397.97,2.63E+11,23543,3938.348,10897.74,2017920,42498570,10.29976,12839.51,8674.331,8.86E+22
233,4047.76,1.65E+12,20103.13,9408.276,3344.124,11507344,31937709,7.587682,12865.85,6479.829,1.21E+22
234,3074.691,2.61E+10,37123.79,5128.057,8462.98,3414144,45172292,11.76241,7058.438,4941.95,3.29E+22
